kpathid	Pathway	extid	source	size	tag1	tag2	tag3	tag4	tag5	tag6	tag7
kp2784	Bile-acid Biosynthesis [HumanCyc]	PWY-6061	HumanCyc	15	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp2884	ARF6 Downstream Pathway	arf6downstreampathway	PID	15	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp2890	Eicosanoid Ligand Binding Receptors	R-HSA-391903	Reactome	15	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp2928	BMP2 Signaling via TAK1	None	INOH	15	Signal Transduction	Bone	BMP	NA	NA	NA	NA
kp3066	PRC2 Complex mediate Long-term Gene Silencing by Modification of Histone Tails	prc2pathway	BioCarta	15	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA	NA
kp3194	Telomeres and Telomerase Cellular Aging and Immortality	telpathway	BioCarta	15	Cell Aging	NA	NA	NA	NA	NA	NA
kp3563	Repression of Pain Sensation by Transcriptional Regulator DREAM	dreampathway	BioCarta	15	Signal Transduction	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA
kp3621	Triacylglycerol Degradation	LIPAS-PWY	HumanCyc	15	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3687	Pyrimidine Deoxyribonucleotides Biosynthesis from CTP	PWY-7210	HumanCyc	15	Nucleotide Metabolism	Pyrimidine	NA	NA	NA	NA	NA
kp3704	Unfolded Protein Response [Reactome]	R-HSA-381119	Reactome	15	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp3750	Processive Synthesis on the Lagging Strand	R-HSA-69183	Reactome	15	Cell Cycle	DNA Replication	DNA Repair	NA	NA	NA	NA
kp3828	Biopterin Metabolism	Biopterin metabolism	EHMN	15	Metabolism	Transport	NA	NA	NA	NA	NA
kp3907	Inflammasomes	R-HSA-622312	Reactome	15	Immune System	Inflammation	NA	NA	NA	NA	NA
kp4008	EPHA mediated Growth Cone Collapse	R-HSA-3928663	Reactome	15	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4106	Long Chain Fatty-acids Metabolism	R-HSA-211935	Reactome	15	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp4124	IL-4/IL-13 Signaling [Reactome]	R-HSA-6785807	Reactome	15	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	JAK/STAT	NA
kp4220	IL-12/STAT4 dependent Signaling in Th-1 Development	il12pathway	BioCarta	15	Immune System	Interleukins	Cytokines	NA	NA	NA	NA
kp4284	PAR4 mediated Thrombin Signaling	thrombin_par4_pathway	PID	15	Signal Transduction	GPCR Signaling	Homeostasis	Platelet	NA	NA	NA
kp4366	Sumoylation by RANBP2 Regulates Transcriptional Repression	ranbp2pathway	PID	15	Transcriptional Regulation	Protein Modification	Sumoylation	NA	NA	NA	NA
kp4395	Nuclear Estrogen Receptor beta Network	erb_genomic_pathway	PID	15	Hormone Metabolism & Fucntions	Signal Transduction	Nuclear Receptors	NA	NA	NA	NA
kp4604	Nucleobase Biosynthesis	R-HSA-8956320	Reactome	15	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp4682	gamma-Aminobutyric-acid Receptor Life Cycle Pathway	gabapathway	BioCarta	15	Neuronal System	Chemical Synapses	GABA	NA	NA	NA	NA
kp4702	Cardiac Conduction Phase 2 - Plateau Phase	R-HSA-5576893	Reactome	15	Physiology	Cardiac System	NA	NA	NA	NA	NA
kp4713	Nicotine Degradation IV	PWY66-201	HumanCyc	15	Metabolism	NA	NA	NA	NA	NA	NA
kp4746	WNT5A dependent Internalization of FZD4	R-HSA-5099900	Reactome	15	Signal Transduction	WNT	NA	NA	NA	NA	NA
kp4893	IL-7 Signaling [BioCarta]	il7pathway	BioCarta	15	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4951	PTEN dependent Cell Cycle Arrest and Apoptosis	ptenpathway	BioCarta	15	Signal Transduction	Focal Adhesion	Apoptosis	NA	NA	NA	NA
kp4995	Metal Ions Stimulus Response	R-HSA-5660526	Reactome	15	Cellular Responses to Stimulus	NA	NA	NA	NA	NA	NA
kp5021	Double-stranded RNA induced Gene Expression	rnapathway	BioCarta	15	Transcriptional Regulation	NA	NA	NA	NA	NA	NA
kp5336	Negative Regulation of TCF dependent Signaling by WNT Ligand Antagonists	R-HSA-3772470	Reactome	15	Signal Transduction	WNT	NA	NA	NA	NA	NA
kp1942	Osteoclast Signaling	WP12	WikiPathway	16	Developmental Biology	Signal Transduction	Bone	NA	NA	NA	NA
kp1981	Cori Cycle	WP1946	WikiPathway	16	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1993	SREBF and miR-33 in Cholesterol and Lipid Homeostasis	WP2011	WikiPathway	16	Transcriptional Regulation	Transcription Factors	Lipid Metabolism	Cholesterol	miRNA	NA	NA
kp2108	Interactome of Polycomb Repressive Complex 2 (PRC2)	WP2916	WikiPathway	16	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA	NA
kp2158	NAD Metabolism [WikiPathwyas]	WP3644	WikiPathway	16	Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
kp2403	MAP3K1 Role in Promoting and Blocking Gonadal Determination	WP4872	WikiPathway	16	Developmental Biology	NA	NA	NA	NA	NA	NA
kp2456	Mitochondrial Complex III Assembly	WP4921	WikiPathway	16	Energy Metabolism	Mitochondria	Developmental Biology	NA	NA	NA	NA
kp2491	FOXA2 Pathway	WP5066	WikiPathway	16	Transcriptional Regulation	Transcription Factors	FOX family	NA	NA	NA	NA
kp2500	ID Signaling [WikiPhathwys]	WP53	WikiPathway	16	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA	NA
kp3082	Prostaglandins (PG) and Thromboxanes (TX) Synthesis	R-HSA-2162123	Reactome	16	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3211	Omega-3 Fatty-acid Metabolism	Omega-3 fatty acid metabolism	EHMN	16	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp3605	Steroids Metabolism [INOH]	None	INOH	16	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3616	Chromatin Remodeling by SWI/SNF ATP dependent Complexes	hswisnfpathway	BioCarta	16	Chromosome Structure Maintenance	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA
kp3780	Glycosphingolipid Biosynthesis - Neolacto series	Glycosphingolipid biosynthesis - neolactoseries	EHMN	16	Metabolism	Lipid Metabolism	Sphingolipid Metabolism	NA	NA	NA	NA
kp3827	RAF independent MAPK1/MAPK3 Activation	R-HSA-112409	Reactome	16	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp3983	TRAF6 mediated NFkB Activation	R-HSA-933542	Reactome	16	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp3991	SEMA3A/PAK dependent Axon Repulsion	R-HSA-399954	Reactome	16	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4186	Cyctic Fibrosis by Defective CFTR	R-HSA-5678895	Reactome	16	Fibrosis	Transport	Protein Metabolism	NA	NA	NA	NA
kp4256	Lysophosphatidic-acid (LPA) Receptor4 mediated Signaling	lpa4_pathway	PID	16	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp4613	Cadmium Induces DNA Synthesis and Proliferation in Macrophages	cdmacpathway	BioCarta	16	Signal Transduction	Immune System	NA	NA	NA	NA	NA
kp4624	Polo-like Kinase (PLKs) mediated Events	R-HSA-156711	Reactome	16	Cell Cycle	NA	NA	NA	NA	NA	NA
kp4642	Pyrimidine Deoxyribonucleoside Salvage	PWY-7200	HumanCyc	16	Nucleotide Metabolism	Pyrimidine	NA	NA	NA	NA	NA
kp4666	Circadian Rhythm [PID]	circadianpathway	PID	16	Physiology	NA	NA	NA	NA	NA	NA
kp4800	Hypoxia-inducible Factor in the Cardivascular System	hifpathway	BioCarta	16	Transcriptional Regulation	Blood Vessels	Hypoxia	Angiogenesis	NA	NA	NA
kp4832	PIP Synthesis at early endosome Membrane	R-HSA-1660516	Reactome	16	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp4933	Skeletal Myogenesis regulated by HDAC and CAMK	hdacpathway	BioCarta	16	Developmental Biology	Muscle	Transcriptional Regulation	HDAC	Calcium	NA	NA
kp5020	IGF1 Receptor (IGF1R) and Longevity	longevitypathway	BioCarta	16	Signal Transduction	Growth Factors	NA	NA	NA	NA	NA
kp5031	Acyl Chain Remodelling of Phosphatidylinositol (PI)	R-HSA-1482922	Reactome	16	Metabolism	Lipid Metabolism	Phospholipid Metabolism	NA	NA	NA	NA
kp5257	Visual Cycle I (Vertebrates)	PWY-6861	HumanCyc	16	Physiology	Vision	NA	NA	NA	NA	NA
kp5400	cGMP Effects	R-HSA-418457	Reactome	16	Hemostasis	NA	NA	NA	NA	NA	NA
kp5421	Bone Remodeling [BioCarta]	ranklpathway	BioCarta	16	Developmental Biology	Differentiation	Bone	NA	NA	NA	NA
kp5426	RHO GTPases mediate Citron Kinase (CIT) Activation	R-HSA-5625900	Reactome	16	Signal Transduction	Developmental Biology	Neuronal System	NA	NA	NA	NA
kp5492	Amine-derived Hormones Metabolism	R-HSA-209776	Reactome	16	Hormone Metabolism & Fucntions	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA
kp5522	RAP1 Signaling [Reactome]	R-HSA-392517	Reactome	16	Signal Transduction	Immune System	Adaptive Immune System	NA	NA	NA	NA
kp0973	Phenylalanine Metabolism	path:hsa00360	KEGG	17	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp0975	Nitrogen Metabolism	path:hsa00910	KEGG	17	Metabolism	NA	NA	NA	NA	NA	NA
kp1060	Selenocompound Metabolism	path:hsa00450	KEGG	17	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1306	Bile-acid Biosynthesis (SMPDB)	SMP00035	SMPDB	17	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp1555	Insulin Signaling [SMPDB]	SMP00391	SMPDB	17	Signal Transduction	Insulin	NA	NA	NA	NA	NA
kp2011	IL-9 Signaling	WP22	WikiPathway	17	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp2019	Drug Induction of Bile Acid Pathway	WP2289	WikiPathway	17	Metabolism	NA	NA	NA	NA	NA	NA
kp2134	NOTCH1 Regulation of Endothelial Cell Calcification	WP3413	WikiPathway	17	Signal Transduction	Physiology	NOTCH	NA	NA	NA	NA
kp2169	Regulation of WNT/beta-Catenin Signaling by Small Molecule Compounds	WP3664	WikiPathway	17	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp2178	Mitochondrial Long Chain Fatty-acid beta-Oxidation	WP368	WikiPathway	17	Energy Metabolism	Biological Oxidations	Mitochondria	NA	NA	NA	NA
kp2196	Canonical and Non-canonical TGF-beta Signaling	WP3874	WikiPathway	17	Signal Transduction	TGF-beta	NA	NA	NA	NA	NA
kp2199	Simplified Depiction of MYD88 Distinct Input-Output Pathway	WP3877	WikiPathway	17	Signal Transduction	Immune System	Toll-like Receptors	NA	NA	NA	NA
kp2201	4-Hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression	WP3879	WikiPathway	17	Signal Transduction	Transcriptional Regulation	NA	NA	NA	NA	NA
kp2206	miR-509-3p Alteration of YAP1-ECM Axis	WP3967	WikiPathway	17	microRNA	ExtraCellular Matrix	NA	NA	NA	NA	NA
kp2228	Leptin Insulin Overlap	WP3935	WikiPathway	17	Signal Transduction	Insulin	NA	NA	NA	NA	NA
kp2329	Cells and Molecules involved in Local Acute Inflammation	WP4493	WikiPathway	17	Immune System	Inflammation	Cytokines	NA	NA	NA	NA
kp2507	Angiotensin Converting Enzyme (ACE) Inhibitor Pathway	WP554	WikiPathway	17	Physiology	Homeostasis	Angiogenesis	NA	NA	NA	NA
kp2527	Sulfation Biotransformation Reaction	WP692	WikiPathway	17	Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
kp2545	TCA Cycle [WikiPathway]	WP78	WikiPathway	17	Metabolism	Carbohydrate Metabolism	Energy Metabolism	NA	NA	NA	NA
kp3374	Sumoylation of DNA Methylation Proteins	R-HSA-4655427	Reactome	17	Protein Metabolism	Protein Modification	Sumoylation	Transcriptional Regulation	Epigenetic Regulation	NA	NA
kp3856	TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition)	R-HSA-2173791	Reactome	17	Signal Transduction	TGF-beta	EMT	Cancers	NA	NA	NA
kp4212	Folate and Pterines Metabolism	R-HSA-196757	Reactome	17	Metabolism	NA	NA	NA	NA	NA	NA
kp4326	Integrin B5/B6/B7/B8 Cell Surface Interactions	integrin5_pathway	PID	17	Cell Adhesion	Integrins	NA	NA	NA	NA	NA
kp4531	Plasma Lipoprotein Assembly	R-HSA-8963898	Reactome	17	Transport	Protein Metabolism	Lipoproteins	NA	NA	NA	NA
kp4576	TNF Receptor Superfamily (TNFSF) mediated Non-canonical NFkB Pathway	R-HSA-5676594	Reactome	17	Signal Transduction	TNF	NF-kB	NA	NA	NA	NA
kp4587	PKA Activation	R-HSA-163615	Reactome	17	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp4708	PI3K subunit p85 in Regulation of Actin Organization and Cell Migration	cdc42racpathway	BioCarta	17	Signal Transduction	Cytoskeleton	NA	NA	NA	NA	NA
kp4840	TNFR1 Signaling [BioCarta]	tnfr1pathway	BioCarta	17	Signal Transduction	TNF	Apoptosis	NA	NA	NA	NA
kp4874	uCalpain and Friends in Cell Spread	ucalpainpathway	BioCarta	17	Cell Shape & Motility	NA	NA	NA	NA	NA	NA
kp4908	Endocytotic Role of NDK Phosphins and Dynamin	ndkdynaminpathway	BioCarta	17	Neuronal System	Chemical Synapses	Vesicle	Transport	NA	NA	NA
kp4927	Nicotinic Acetylcholine Receptors in Apotosis Regulation	achpathway	BioCarta	17	Signal Transduction	Apoptosis	Cell Death	NA	NA	NA	NA
kp5023	Y-branching of Actin Filaments	actinypathway	BioCarta	17	Signal Transduction	Small GTPases	Immune System	Innate Immune System	Cytoskeleton	NA	NA
kp5280	Regulation of RUNX1 Expression and Activity	R-HSA-8934593	Reactome	17	Transcriptional Regulation	Transcription Factors	RUNX1	NA	NA	NA	NA
kp5501	Steroid Hormone Biosynthesis [HumanCyc]	PWY-7305	HumanCyc	17	Metabolism	Lipid Metabolism	Hormone Metabolism & Fucntions	NA	NA	NA	NA
kp1059	Other Glycan Degradation	path:hsa00511	KEGG	18	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1138	Fatty-acid Biosynthesis [KEGG]	path:hsa00061	KEGG	18	Physiology	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp1421	Tyrosine Metabolism [SMPDB]	SMP00006	SMPDB	18	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1545	Starch and Sucrose Metabolism [SMPDB]	SMP00058	SMPDB	18	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1910	JAK/STAT Signaling [Signalink]	None	Signalink	18	Signal Transduction	Immune System	Cytokines	JAK/STAT	NA	NA	NA
kp2172	Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway	WP3670	WikiPathway	18	Metabolism	Cellular Responses to Stress	NA	NA	NA	NA	NA
kp2210	Inhibition of Exosome Biogenesis and Secretion by Manumycin A in CRPC Cells	WP4301	WikiPathway	18	Developmental Biology	NA	NA	NA	NA	NA	NA
kp2344	Transcription co-Factors SKI and SKIL Protein Partners	WP4533	WikiPathway	18	Transcriptional Regulation	NA	NA	NA	NA	NA	NA
kp2360	MFAP5 mediated Permeability and Motility Changes in Endothelial Cells	WP4560	WikiPathway	18	Homeostasis	Cytoskeleton	Cell Shape & Motility	NA	NA	NA	NA
kp2411	Proteoglycan Biosynthesis [WikiPathway]	WP4784	WikiPathway	18	Protein Metabolism	ExtraCellular Matrix	NA	NA	NA	NA	NA
kp2487	Fatty-acid Transporters	WP5061	WikiPathway	18	Transport	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp2530	Estrogen Metabolism	WP697	WikiPathway	18	Metabolism	Hormone Metabolism & Fucntions	Nuclear Receptors	NA	NA	NA	NA
kp2965	Cristae Formation	R-HSA-8949613	Reactome	18	Cell Organelles & Functions	Mitochondria	Energy Metabolism	Biological Oxidations	NA	NA	NA
kp3064	Formation of ATP by Chemiosmotic Coupling	R-HSA-163210	Reactome	18	Energy Metabolism	Biological Oxidations	Mitochondria	NA	NA	NA	NA
kp3185	Propanoate Metabolism [EHMN]	Propanoate metabolism	EHMN	18	Metabolism	NA	NA	NA	NA	NA	NA
kp3449	Acyl Chain Remodelling of Phosphatidylglycerol (PG)	R-HSA-1482925	Reactome	18	Metabolism	Lipid Metabolism	Phospholipid Metabolism	NA	NA	NA	NA
kp3513	Activation of NFkB in B-cells	R-HSA-1169091	Reactome	18	Immune System	Signal Transduction	B-cell	NA	NA	NA	NA
kp3534	RHO GTPases mediate ROCKs Activation	R-HSA-5627117	Reactome	18	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp3697	Signaling to RAS	R-HSA-167044	Reactome	18	Signal Transduction	RTK Signaling	Neurotrophin	RAS Signaling	NA	NA	NA
kp3778	Glycosphingolipid Biosynthesis - Globo series	Glycosphingolipid biosynthesis - globoseries	EHMN	18	Metabolism	Lipid Metabolism	Sphingolipid Metabolism	NA	NA	NA	NA
kp4009	ABC Transporters in Lipid Homeostasis	R-HSA-1369062	Reactome	18	Transport	Homeostasis	Lipid Metabolism	NA	NA	NA	NA
kp4022	Endogenous Sterols	R-HSA-211976	Reactome	18	Metabolism	Lipid Metabolism	Biological Oxidations	NA	NA	NA	NA
kp4063	Cobalamin (Cbl, vitamin B12) Transport and Metabolism	R-HSA-196741	Reactome	18	Metabolism	Vitamin	NA	NA	NA	NA	NA
kp4066	Cbl proto-oncogene (CBL) Signaling Regulation	R-HSA-912631	Reactome	18	Immune System	Signal Transduction	Interleukins	Cytokines	NA	NA	NA
kp4068	ATM Signaling [BioCarta]	atmpathway	BioCarta	18	Transcriptional Regulation	Signal Transduction	NA	NA	NA	NA	NA
kp4230	IL-20 family Signaling	R-HSA-8854691	Reactome	18	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4242	NRF2 mediated Oxidative Stress induced Gene Expression	arenrf2pathway	BioCarta	18	Cellular Responses to Stress	Transcriptional Regulation	NA	NA	NA	NA	NA
kp4646	PIP Synthesis at Golgi Membrane	R-HSA-1660514	Reactome	18	Metabolism	Lipid Metabolism	Golgi	NA	NA	NA	NA
kp4847	Metabolism of Nitric Oxide/NOS3 Activation and regulation	R-HSA-202131	Reactome	18	Metabolism	NA	NA	NA	NA	NA	NA
kp4903	TEK Signaling	R-HSA-210993	Reactome	18	Homeostasis	Signal Transduction	NA	NA	NA	NA	NA
kp4954	Angiotensinogen to Angiotensins	R-HSA-2022377	Reactome	18	Protein Metabolism	Hormone Metabolism & Fucntions	Homeostasis	Angiogenesis	NA	NA	NA
kp5038	Internal Ribosome Entry Pathway	irespathway	BioCarta	18	Translation	Cell Organelles & Functions	Ribosome	NA	NA	NA	NA
kp5046	ER associated Degradation (ERAD) Pathway	eradpathway	BioCarta	18	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp5052	Norepinephrine Neurotransmitter Release Cycle	R-HSA-181430	Reactome	18	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp5105	Serotonin Neurotransmitter Release Cycle	R-HSA-181429	Reactome	18	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp5131	EPHA2 Forward Signaling	epha2_fwdpathway	PID	18	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp5271	Nerve Growth Factor (NGF) Signaling [BioCarta]	ngfpathway	BioCarta	18	Signal Transduction	NGF	Growth Factor	Neuronal System	Developmental Biology	NA	NA
kp5449	PLK3 mediated Cell Cycle Progression Regulation	plk3pathway	BioCarta	18	Cell Cycle	Transcriptional Regulation	NA	NA	NA	NA	NA
kp5486	CDK Regulation of DNA Replication	mcmpathway	BioCarta	18	Cell Cycle	DNA Replication	NA	NA	NA	NA	NA
kp5567	Glycosylphosphatidylinositol (GPI) Synthesis	R-HSA-162710	Reactome	18	Protein Metabolism	Lipoproteins	NA	NA	NA	NA	NA
kp1241	Glycosaminoglycan Degradation	path:hsa00531	KEGG	19	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1721	Tryptophan Metabolism [SMPDB]	SMP00063	SMPDB	19	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1953	Globo Sphingolipid Metabolism	WP1424	WikiPathway	19	Metabolism	Lipid Metabolism	Sphingolipid Metabolism	NA	NA	NA	NA
kp1978	TP53 Network	WP1742	WikiPathway	19	Transcriptional Regulation	TP53	NA	NA	NA	NA	NA
kp1995	Cell Differentiation - Index Expanded	WP2023	WikiPathway	19	Differentiation	NA	NA	NA	NA	NA	NA
kp2024	ATM Signaling [WikiPathway]	WP2516	WikiPathway	19	Signal Transduction	Transcriptional Regulation	ATM	NA	NA	NA	NA
kp2051	Small Ligand GPCRs	WP247	WikiPathway	19	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp2099	Farnesoid X Receptor Pathway	WP2879	WikiPathway	19	Signal Transduction	Nuclear Receptors	NA	NA	NA	NA	NA
kp2120	Extracellular Vesicles in the Crosstalk of Cardiac Cells	WP4300	WikiPathway	19	ExtraCellular Matrix	Cardiac System	Vesicle	NA	NA	NA	NA
kp2122	Nano-particle Effects	WP3287	WikiPathway	19	Homeostasis	Cellular Responses to Stimulus	NA	NA	NA	NA	NA
kp2164	Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex	WP3657	WikiPathway	19	Transcriptional Regulation	Stem Cell	NA	NA	NA	NA	NA
kp2182	Apoptosis Modulation by HSP70	WP384	WikiPathway	19	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp2216	Mitochondrial Gene Expression [WikiPathway]	WP391	WikiPathway	19	Transcriptional Regulation	Mitochondria	NA	NA	NA	NA	NA
kp2247	Nucleotide Metabolism [WikiPathway]	WP404	WikiPathway	19	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp2543	Serotonin Receptor 4/6/7 and NR3C Signaling	WP734	WikiPathway	19	Signal Transduction	Neuronal System	NA	NA	NA	NA	NA
kp2720	PKC andMAPK mediated Gastrin-CREB Signaling	R-HSA-881907	Reactome	19	Signal Transduction	GPCR Signaling	Hormone Metabolism & Fucntions	NA	NA	NA	NA
kp2730	Methionine Degradation	PWY-5328	HumanCyc	19	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp3026	Transcriptional Regulation by VENTX	R-HSA-8853884	Reactome	19	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA	NA
kp3045	Biosynthesis of Specialized Proresolving Mediators (SPMs)	R-HSA-9018678	Reactome	19	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3468	NODAL Signaling	R-HSA-1181150	Reactome	19	Developmental Biology	TGF-beta	NA	NA	NA	NA	NA
kp3508	CD209 (DC-SIGN) Signaling	R-HSA-5621575	Reactome	19	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp3690	Fatty-acid beta-Oxidation [HumanCyc]	FAO-PWY	HumanCyc	19	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp4128	Ephrin Signaling	R-HSA-3928664	Reactome	19	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4266	Degradation of beta-Catenin [PID]	betacatenin_deg_pathway	PID	19	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp4377	Hypoxic and Oxygen Homeostasis Regulation of HIF1A	hif1apathway	PID	19	Homeostasis	Transcriptional Regulation	Transcription Factors	Hypoxia	NA	NA	NA
kp4484	Growth Hormone Receptor Signaling	R-HSA-982772	Reactome	19	Signal Transduction	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp4510	Nitric Oxide Signaling	nos1pathway	BioCarta	19	Signal Transduction	Neuronal System	NA	NA	NA	NA	NA
kp4533	Retinol Biosynthesis	PWY-6857	HumanCyc	19	Metabolism	Retinoic-acid	NA	NA	NA	NA	NA
kp4588	PKA mediated CREB Phosphorylation	R-HSA-111931	Reactome	19	Protein Metabolism	Protein Modification	NA	NA	NA	NA	NA
kp4679	Cardiac Conduction Phase 4 - Resting Membrane Potential	R-HSA-5576886	Reactome	19	Physiology	Cardiac System	NA	NA	NA	NA	NA
kp4804	Regulation of TP53 Activity through Methylation	R-HSA-6804760	Reactome	19	Transcriptional Regulation	Transcription Factors	Epigenetic Regulation	TP53	NA	NA	NA
kp4842	GATA3 Participate in Activating Th2 Cytokine Genes Expression	gata3pathway	BioCarta	19	Transcriptional Regulation	Transcription Factors	Immune System	Cytokines	NA	NA	NA
kp4910	AKT Signaling	aktpathway	BioCarta	19	Signal Transduction	AKT	NA	NA	NA	NA	NA
kp4986	MAL Pathway in RHO mediated SRF Activation	malpathway	BioCarta	19	Signal Transduction	NA	NA	NA	NA	NA	NA
kp5240	Aflatoxin Activation and Detoxification	R-HSA-5423646	Reactome	19	Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
