Path ID	Reference	Description
K-Path:0043	R-HSA-174143	APC/C-mediated degradation of cell cycle proteins
K-Path:0044	R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
K-Path:0045	GO:0043297	apical junction assembly
K-Path:0046	R-HSA-109581	Apoptosis
K-Path:0047	GO:0043277	apoptotic cell clearance
K-Path:0048	GO:0048736	appendage development
K-Path:0049	R-HSA-445717	Aquaporin-mediated transport
K-Path:0050	R-HSA-2142753	Arachidonic acid metabolism
K-Path:0051	GO:0048844	artery morphogenesis
K-Path:0052	R-HSA-446203	Asparagine N-linked glycosylation
K-Path:0053	GO:0009066	aspartate family amino acid metabolic process
K-Path:0054	R-HSA-68867	Assembly of the pre-replicative complex
K-Path:0055	R-HSA-4608870	Asymmetric localization of PCP proteins
K-Path:0056	GO:0043044	atp dependent chromatin remodeling
K-Path:0057	R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA
K-Path:0058	R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C
K-Path:0059	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1
K-Path:0060	GO:1905037	autophagosome organization
K-Path:0061	R-HSA-9612973	Autophagy
K-Path:0062	GO:0009798	axis specification
K-Path:0063	GO:0035082	axoneme assembly
K-Path:0064	GO:0002312	b cell activation involved in immune response
K-Path:0065	GO:0030183	b cell differentiation
K-Path:0066	GO:0019724	b cell mediated immunity
K-Path:0067	GO:0042100	b cell proliferation
K-Path:0068	GO:0050853	b cell receptor signaling
K-Path:0069	R-HSA-73884	Base Excision Repair
K-Path:0070	R-HSA-3858494	Beta-catenin independent WNT signaling
K-Path:0071	GO:0008206	bile acid metabolic process
K-Path:0072	R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors
K-Path:0073	R-HSA-211859	Biological oxidations
K-Path:0074	GO:0051701	biological process involved in interaction with host
K-Path:0075	GO:0051703	biological process involved in intraspecies interaction between organisms
K-Path:0076	GO:0110148	biomineralization
K-Path:0077	GO:0001824	blastocyst development
K-Path:0078	GO:0007589	body fluid secretion
K-Path:0079	GO:0060348	bone development
K-Path:0080	GO:0046849	bone remodeling
K-Path:0081	R-HSA-5250924	B-WICH complex positively regulates rRNA expression
K-Path:0082	GO:0070509	calcium ion import
K-Path:0083	GO:0017156	calcium ion regulated exocytosis
K-Path:0084	GO:0060402	calcium ion transport into cytosol
K-Path:0085	GO:0019722	calcium mediated signaling
K-Path:0086	GO:0019933	camp mediated signaling
K-Path:0087	R-HSA-72737	Cap-dependent Translation Initiation
K-Path:0088	GO:0016052	carbohydrate catabolic process
K-Path:0089	GO:1901136	carbohydrate derivative catabolic process
K-Path:0090	GO:1901264	carbohydrate derivative transport
K-Path:0091	GO:0033500	carbohydrate homeostasis
K-Path:0092	GO:0034219	carbohydrate transmembrane transport
K-Path:0093	R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin
K-Path:0094	GO:0055007	cardiac muscle cell differentiation
K-Path:0095	GO:0003231	cardiac ventricle development
K-Path:0096	GO:0003208	cardiac ventricle morphogenesis
K-Path:0097	R-HSA-5620920	Cargo trafficking to the periciliary membrane
K-Path:0098	R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
K-Path:0099	R-HSA-9013148	CDC42 GTPase cycle
K-Path:0100	R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6
K-Path:0101	R-HSA-68827	CDT1 association with the CDC6:ORC:origin complex
K-Path:0102	GO:0033627	cell adhesion mediated by integrin
K-Path:0103	GO:0007050	cell cycle arrest
K-Path:0104	R-HSA-69620	Cell Cycle Checkpoints
K-Path:0105	GO:0044786	cell cycle dna replication
K-Path:0106	GO:0036473	cell death in response to oxidative stress
K-Path:0107	GO:0001708	cell fate specification
K-Path:0108	GO:0007160	cell matrix adhesion
K-Path:0109	GO:0150115	cell substrate junction organization
K-Path:0110	R-HSA-202733	Cell surface interactions at the vascular wall
K-Path:0111	R-HSA-1500931	Cell-Cell communication
K-Path:0112	GO:0006081	cellular aldehyde metabolic process
K-Path:0113	GO:0008652	cellular amino acid biosynthetic process
K-Path:0114	GO:0009063	cellular amino acid catabolic process
K-Path:0115	GO:0034637	cellular carbohydrate biosynthetic process
K-Path:0116	GO:0044262	cellular carbohydrate metabolic process
K-Path:0117	GO:0043954	cellular component maintenance
K-Path:0118	GO:0006968	cellular defense response
K-Path:0119	GO:0045123	cellular extravasation
K-Path:0120	GO:0001678	cellular glucose homeostasis
K-Path:0121	GO:0034754	cellular hormone metabolic process
K-Path:0122	GO:0042180	cellular ketone metabolic process
K-Path:0123	GO:0006575	cellular modified amino acid metabolic process
K-Path:0124	GO:0030004	cellular monovalent inorganic cation homeostasis
K-Path:0125	GO:0071229	cellular response to acid chemical
K-Path:0126	GO:0097306	cellular response to alcohol
K-Path:0127	GO:0071216	cellular response to biotic stimulus
K-Path:0128	R-HSA-9711123	Cellular response to chemical stress
K-Path:0129	GO:0035690	cellular response to drug
K-Path:0130	GO:0031668	cellular response to extracellular stimulus
K-Path:0131	R-HSA-3371556	Cellular response to heat stress
K-Path:0132	R-HSA-1234174	Cellular response to hypoxia
K-Path:0133	GO:0071241	cellular response to inorganic substance
K-Path:0134	GO:0032869	cellular response to insulin stimulus
K-Path:0135	GO:1901655	cellular response to ketone
K-Path:0136	GO:0071260	cellular response to mechanical stimulus
K-Path:0137	GO:0071453	cellular response to oxygen levels
K-Path:0138	GO:0071478	cellular response to radiation
K-Path:0139	GO:0071300	cellular response to retinoic acid
K-Path:0140	R-HSA-9711097	Cellular response to starvation
K-Path:0141	GO:0071383	cellular response to steroid hormone stimulus
K-Path:0142	GO:0035924	cellular response to vascular endothelial growth factor stimulus
K-Path:0143	GO:0098586	cellular response to virus
K-Path:0144	GO:0090398	cellular senescence
K-Path:0145	R-HSA-2559583	Cellular Senescence
K-Path:0146	GO:0021953	central nervous system neuron differentiation
K-Path:0147	GO:0061077	chaperone mediated protein folding
K-Path:0148	GO:0032602	chemokine production
K-Path:0149	GO:0034401	chromatin organization involved in regulation of transcription
K-Path:0150	R-HSA-73886	Chromosome Maintenance
K-Path:0151	GO:0003341	cilium movement
K-Path:0152	R-HSA-400253	Circadian Clock
K-Path:0153	GO:0032922	circadian regulation of gene expression
K-Path:0154	R-HSA-373080	Class B/2 (Secretin family receptors)
K-Path:0155	R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)
K-Path:0156	R-HSA-8856828	Clathrin-mediated endocytosis
K-Path:0157	R-HSA-110329	Cleavage of the damaged pyrimidine 
K-Path:0158	R-HSA-5607764	CLEC7A (Dectin-1) signaling
K-Path:0159	GO:0050890	cognition
K-Path:0160	GO:0030199	collagen fibril organization
K-Path:0161	GO:0032963	collagen metabolic process
K-Path:0162	GO:0006956	complement activation
K-Path:0163	GO:0061448	connective tissue development
K-Path:0164	R-HSA-204005	COPII-mediated vesicle transport
K-Path:0165	GO:0030865	cortical cytoskeleton organization
K-Path:0166	R-HSA-388841	Costimulation by the CD28 family
K-Path:0167	GO:1904888	cranial skeletal system development
K-Path:0168	R-HSA-5621481	C-type lectin receptors (CLRs)
K-Path:0169	R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry
K-Path:0170	R-HSA-69202	Cyclin E associated events during G1/S transition 
K-Path:0171	GO:0002367	cytokine production involved in immune response
K-Path:0172	GO:0000910	cytokinesis
K-Path:0173	GO:0031122	cytoplasmic microtubule organization
K-Path:0174	GO:0002753	cytoplasmic pattern recognition receptor signaling
K-Path:0175	GO:0002181	cytoplasmic translation
K-Path:0176	GO:0060401	cytosolic calcium ion transport
K-Path:0177	R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 
K-Path:0178	GO:0016482	cytosolic transport
K-Path:0179	R-HSA-2424491	DAP12 signaling
K-Path:0180	R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta
K-Path:0181	R-HSA-73887	Death Receptor Signalling
K-Path:0182	R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling
K-Path:0183	R-HSA-5678895	Defective CFTR causes cystic fibrosis
K-Path:0184	R-HSA-9710421	Defective pyroptosis
K-Path:0185	GO:0050829	defense response to gram negative bacterium
K-Path:0186	GO:0050830	defense response to gram positive bacterium
K-Path:0187	GO:0051607	defense response to virus
K-Path:0188	R-HSA-4641257	Degradation of AXIN
K-Path:0189	R-HSA-195253	Degradation of beta-catenin by the destruction complex
K-Path:0190	R-HSA-4641258	Degradation of DVL
K-Path:0191	R-HSA-5610780	Degradation of GLI1 by the proteasome
K-Path:0192	R-HSA-5610783	Degradation of GLI2 by the proteasome
K-Path:0193	GO:0070988	demethylation
K-Path:0194	GO:0016358	dendrite development
K-Path:0195	GO:0009582	detection of abiotic stimulus
K-Path:0196	GO:0098754	detoxification
K-Path:0197	R-HSA-5688426	Deubiquitination
K-Path:0198	GO:0048588	developmental cell growth
K-Path:0199	GO:0060560	developmental growth involved in morphogenesis
K-Path:0200	GO:0043648	dicarboxylic acid metabolic process
K-Path:0201	GO:0006835	dicarboxylic acid transport
K-Path:0202	GO:0021536	diencephalon development
K-Path:0203	GO:0007586	digestion
K-Path:0204	R-HSA-8963743	Digestion and absorption
K-Path:0205	GO:0055123	digestive system development
K-Path:0206	R-HSA-5668914	Diseases of metabolism
K-Path:0207	R-HSA-9645723	Diseases of programmed cell death
K-Path:0208	R-HSA-5619115	Disorders of transmembrane transporters
K-Path:0209	R-HSA-5693532	DNA Double-Strand Break Repair
K-Path:0210	GO:0032392	dna geometric change
K-Path:0211	GO:0031570	dna integrity checkpoint
K-Path:0212	GO:0044728	dna methylation or demethylation
K-Path:0213	GO:0006323	dna packaging
K-Path:0214	R-HSA-73894	DNA Repair
K-Path:0215	R-HSA-69002	DNA Replication Pre-Initiation
K-Path:0216	GO:0000731	dna synthesis involved in dna repair
K-Path:0217	GO:0006302	double strand break repair
K-Path:0218	R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)
K-Path:0219	R-HSA-202424	Downstream TCR signaling
K-Path:0220	R-HSA-6782135	Dual incision in TC-NER
K-Path:0221	GO:0043583	ear development
K-Path:0222	GO:0022900	electron transport chain
K-Path:0223	GO:0009880	embryonic pattern specification
K-Path:0224	GO:0048706	embryonic skeletal system development
K-Path:0225	GO:0050886	endocrine process
K-Path:0226	GO:0035270	endocrine system development
K-Path:0227	GO:0032456	endocytic recycling
K-Path:0228	GO:0007492	endoderm development
K-Path:0229	GO:0007029	endoplasmic reticulum organization
K-Path:0230	GO:0007032	endosome organization
K-Path:0231	GO:0008333	endosome to lysosome transport
K-Path:0232	GO:0003158	endothelium development
K-Path:0233	GO:0006112	energy reserve metabolic process
K-Path:0234	GO:0007272	ensheathment of neurons
K-Path:0235	R-HSA-2682334	EPH-Ephrin signaling
K-Path:0236	GO:0007173	epidermal growth factor receptor signaling
K-Path:0237	R-HSA-212165	Epigenetic regulation of gene expression
K-Path:0238	GO:0006984	er nucleus signaling
K-Path:0239	R-HSA-199977	ER to Golgi Anterograde Transport
K-Path:0240	R-HSA-1236974	ER-Phagosome
K-Path:0241	GO:0030010	establishment of cell polarity
K-Path:0242	GO:0072599	establishment of protein localization to endoplasmic reticulum
K-Path:0243	GO:0061951	establishment of protein localization to plasma membrane
K-Path:0244	GO:0007164	establishment of tissue polarity
K-Path:0245	R-HSA-72764	Eukaryotic Translation Termination
K-Path:0246	GO:0007588	excretion
K-Path:0247	GO:0097194	execution phase of apoptosis
K-Path:0248	GO:0140029	exocytic process
K-Path:0249	GO:0140115	export across plasma membrane
K-Path:0250	GO:0022617	extracellular matrix disassembly
K-Path:0251	R-HSA-1474244	Extracellular matrix organization
K-Path:0252	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors
K-Path:0253	R-HSA-983231	Factors involved in megakaryocyte development and platelet production
K-Path:0254	GO:0045444	fat cell differentiation
K-Path:0255	GO:1901570	fatty acid derivative biosynthetic process
K-Path:0256	R-HSA-8978868	Fatty acid metabolism
K-Path:0257	R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis
K-Path:0258	R-HSA-2454202	Fc epsilon receptor (FCERI) signaling
K-Path:0259	GO:0002431	fc receptor mediated stimulatory signaling
K-Path:0260	R-HSA-2871837	FCERI mediated NF-kB activation
K-Path:0261	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
K-Path:0262	GO:0007631	feeding behavior
K-Path:0263	GO:0007292	female gamete generation
K-Path:0264	GO:0046660	female sex differentiation
K-Path:0265	GO:0048144	fibroblast proliferation
K-Path:0266	GO:0046847	filopodium assembly
K-Path:0267	GO:0048041	focal adhesion assembly
K-Path:0268	R-HSA-72689	Formation of a pool of free 40S subunits
K-Path:0269	R-HSA-9614085	FOXO-mediated transcription
K-Path:0270	R-HSA-416482	G alpha (12/13) signalling events
K-Path:0271	R-HSA-416476	G alpha (q) signalling events
K-Path:0272	R-HSA-418555	G alpha (s) signalling events
K-Path:0273	R-HSA-418597	G alpha (z) signalling events
K-Path:0274	R-HSA-69206	G1/S Transition
K-Path:0275	R-HSA-69481	G2/M Checkpoints
K-Path:0276	R-HSA-69275	G2/M Transition
K-Path:0277	R-HSA-157858	Gap junction trafficking and regulation
K-Path:0278	GO:0007369	gastrulation
K-Path:0279	R-HSA-211000	Gene Silencing by RNA
K-Path:0280	R-HSA-202433	Generation of second messenger molecules
K-Path:0281	GO:0022612	gland morphogenesis
K-Path:0282	R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome
K-Path:0283	GO:0042063	gliogenesis
K-Path:0284	GO:0006006	glucose metabolic process
K-Path:0285	GO:0007215	glutamate receptor signaling
K-Path:0286	GO:0009064	glutamine family amino acid metabolic process
K-Path:0287	GO:0045017	glycerolipid biosynthetic process
K-Path:0288	GO:0046503	glycerolipid catabolic process
K-Path:0289	R-HSA-1630316	Glycosaminoglycan metabolism
K-Path:0290	GO:1901657	glycosyl compound metabolic process
K-Path:0291	GO:0070085	glycosylation
K-Path:0292	GO:0007030	golgi organization
K-Path:0293	R-HSA-112040	G-protein mediated events
K-Path:0294	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
K-Path:0295	R-HSA-3214847	HATs acetylate histones
K-Path:0296	R-HSA-9609646	HCMV Infection
K-Path:0297	R-HSA-3214815	HDACs deacetylate histones
K-Path:0298	R-HSA-3214842	HDMs demethylate histones
K-Path:0299	GO:0060419	heart growth
K-Path:0300	GO:0003007	heart morphogenesis
K-Path:0301	GO:0003015	heart process
K-Path:0302	GO:0003170	heart valve development
K-Path:0303	R-HSA-5358346	Hedgehog ligand biogenesis
K-Path:0304	R-HSA-5632684	Hedgehog 'on' state
K-Path:0305	R-HSA-9707616	Heme signaling
K-Path:0306	GO:0061008	hepaticobiliary system development
K-Path:0307	GO:0034113	heterotypic cell cell adhesion
K-Path:0308	R-HSA-5387390	Hh mutants abrogate ligand secretion
K-Path:0309	R-HSA-5362768	Hh mutants are degraded by ERAD
K-Path:0310	GO:0030902	hindbrain development
K-Path:0311	GO:0016571	histone methylation
K-Path:0312	R-HSA-162906	HIV Infection
K-Path:0313	R-HSA-162587	HIV Life Cycle
K-Path:0314	GO:0048872	homeostasis of number of cells
K-Path:0315	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
K-Path:0316	GO:0042446	hormone biosynthetic process
K-Path:0317	R-HSA-162909	Host Interactions of HIV factors
K-Path:0318	R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)
K-Path:0319	GO:0042743	hydrogen peroxide metabolic process
K-Path:0320	GO:0046456	icosanoid biosynthetic process
K-Path:0321	GO:0071715	icosanoid transport
K-Path:0322	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
K-Path:0323	GO:0098739	import across plasma membrane
K-Path:0324	GO:0051170	import into nucleus
K-Path:0325	R-HSA-9635486	Infection with Mycobacterium tuberculosis
K-Path:0326	GO:0002437	inflammatory response to antigenic stimulus
K-Path:0327	R-HSA-168255	Influenza Infection
K-Path:0328	R-HSA-168273	Influenza Viral RNA Transcription and Replication
K-Path:0329	GO:0002758	innate immune response activating signal transduction
K-Path:0330	GO:0007007	inner mitochondrial membrane organization
K-Path:0331	GO:0098661	inorganic anion transmembrane transport
K-Path:0332	GO:0048017	inositol lipid mediated signaling
K-Path:0333	GO:0048016	inositol phosphate mediated signaling
K-Path:0334	R-HSA-1483249	Inositol phosphate metabolism
K-Path:0335	R-HSA-74751	Insulin receptor signalling cascade
K-Path:0336	R-HSA-163685	Integration of energy metabolism
K-Path:0337	GO:0007229	integrin mediated signaling
K-Path:0338	R-HSA-909733	Interferon alpha/beta signaling
K-Path:0339	GO:0032608	interferon beta production
K-Path:0340	GO:0032609	interferon gamma production
K-Path:0341	R-HSA-877300	Interferon gamma signaling
K-Path:0342	R-HSA-913531	Interferon Signaling
K-Path:0343	GO:0032611	interleukin 1 beta production
K-Path:0344	GO:0032613	interleukin 10 production
K-Path:0345	GO:0032615	interleukin 12 production
K-Path:0346	GO:0032623	interleukin 2 production
K-Path:0347	GO:0032635	interleukin 6 production
K-Path:0348	GO:0032637	interleukin 8 production
K-Path:0349	R-HSA-446652	Interleukin-1 family signaling
K-Path:0350	R-HSA-9020702	Interleukin-1 signaling
K-Path:0351	R-HSA-6783783	Interleukin-10 signaling
K-Path:0352	R-HSA-447115	Interleukin-12 family signaling
K-Path:0353	R-HSA-448424	Interleukin-17 signaling
K-Path:0354	R-HSA-451927	Interleukin-2 family signaling
K-Path:0355	R-HSA-512988	"Interleukin-3, Interleukin-5 and GM-CSF signaling"
K-Path:0356	R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling
K-Path:0357	R-HSA-1266695	Interleukin-7 signaling
K-Path:0358	GO:0045103	intermediate filament based process
K-Path:0359	GO:0036297	interstrand cross link repair
K-Path:0360	R-HSA-5620924	Intraflagellar transport
K-Path:0361	R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic
K-Path:0362	GO:0097193	intrinsic apoptotic signaling
K-Path:0363	R-HSA-983712	Ion channel transport
K-Path:0364	GO:0055072	iron ion homeostasis
K-Path:0365	GO:0006826	iron ion transport
K-Path:0366	R-HSA-917937	Iron uptake and transport
K-Path:0367	R-HSA-6805567	Keratinization
K-Path:0368	GO:0060993	kidney morphogenesis
K-Path:0369	GO:0031640	killing of cells of other organism
K-Path:0370	GO:0015807	l amino acid transport
K-Path:0371	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
K-Path:0372	R-HSA-373760	L1CAM interactions
K-Path:0373	GO:0030032	lamellipodium assembly
K-Path:0374	R-HSA-162599	Late Phase of HIV Life Cycle
K-Path:0375	R-HSA-9658195	Leishmania infection
K-Path:0376	GO:0002088	lens development in camera type eye
K-Path:0377	GO:0061756	leukocyte adhesion to vascular endothelial cell
K-Path:0378	GO:0001909	leukocyte mediated cytotoxicity
K-Path:0379	GO:0021761	limbic system development
K-Path:0380	GO:0140353	lipid export from cell
K-Path:0381	GO:0034440	lipid oxidation
K-Path:0382	GO:0046834	lipid phosphorylation
K-Path:0383	GO:0019915	lipid storage
K-Path:0384	GO:0042157	lipoprotein metabolic process
K-Path:0385	GO:1903509	liposaccharide metabolic process
K-Path:0386	GO:0015909	long chain fatty acid transport
K-Path:0387	GO:0070227	lymphocyte apoptotic process
K-Path:0388	GO:0032418	lysosome localization
K-Path:0389	GO:0080171	lytic vacuole organization
K-Path:0390	GO:0098732	macromolecule deacylation
K-Path:0391	GO:0042116	macrophage activation
K-Path:0392	GO:1905517	macrophage migration
K-Path:0393	GO:0098727	maintenance of cell number
K-Path:0394	GO:0032507	maintenance of protein location in cell
K-Path:0395	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
K-Path:0396	GO:0046661	male sex differentiation
K-Path:0397	GO:0030879	mammary gland development
K-Path:0398	R-HSA-5684996	MAPK1/MAPK3 signaling
K-Path:0399	R-HSA-5687128	MAPK6/MAPK4 signaling
K-Path:0400	GO:0045576	mast cell activation
K-Path:0401	GO:0030219	megakaryocyte differentiation
K-Path:0402	GO:0061982	meiosis i cell cycle process
K-Path:0403	GO:0051321	meiotic cell cycle
K-Path:0404	GO:0051899	membrane depolarization
K-Path:0405	GO:0022406	membrane docking
K-Path:0406	GO:0061025	membrane fusion
K-Path:0407	GO:0010324	membrane invagination
K-Path:0408	GO:0046467	membrane lipid biosynthetic process
K-Path:0409	GO:0033619	membrane protein proteolysis
K-Path:0410	GO:0060485	mesenchyme development
K-Path:0411	GO:0007498	mesoderm development
K-Path:0412	GO:0001823	mesonephros development
K-Path:0413	R-HSA-71387	Metabolism of carbohydrates
K-Path:0414	R-HSA-194441	Metabolism of non-coding RNA
K-Path:0415	R-HSA-15869	Metabolism of nucleotides
K-Path:0416	R-HSA-351202	Metabolism of polyamines
K-Path:0417	R-HSA-8957322	Metabolism of steroids
K-Path:0418	R-HSA-196854	Metabolism of vitamins and cofactors
K-Path:0419	GO:0001656	metanephros development
K-Path:0420	R-HSA-2132295	MHC class II antigen presentation
K-Path:0421	GO:0099111	microtubule based transport
K-Path:0422	GO:1902850	microtubule cytoskeleton organization involved in mitosis
K-Path:0423	GO:0031023	microtubule organizing center organization
K-Path:0424	GO:0030901	midbrain development
K-Path:0425	R-HSA-1592230	Mitochondrial biogenesis
K-Path:0426	GO:0140053	mitochondrial gene expression
K-Path:0427	GO:0033108	mitochondrial respiratory chain complex assembly
K-Path:0428	GO:0032543	mitochondrial translation
K-Path:0429	R-HSA-5389840	Mitochondrial translation elongation
K-Path:0430	R-HSA-5419276	Mitochondrial translation termination
K-Path:0431	GO:1990542	mitochondrial transmembrane transport
K-Path:0432	R-HSA-453279	Mitotic G1 phase and G1/S transition
K-Path:0433	R-HSA-453274	Mitotic G2-G2/M phases
K-Path:0434	R-HSA-2555396	Mitotic Metaphase and Anaphase
K-Path:0435	GO:0140014	mitotic nuclear division
K-Path:0436	R-HSA-68877	Mitotic Prometaphase
K-Path:0437	R-HSA-68875	Mitotic Prophase
K-Path:0438	GO:0000070	mitotic sister chromatid segregation
K-Path:0439	GO:0051817	modulation of process of other organism involved in symbiotic interaction
K-Path:0440	GO:0042303	molting cycle
K-Path:0441	GO:0072330	monocarboxylic acid biosynthetic process
K-Path:0442	GO:0072329	monocarboxylic acid catabolic process
K-Path:0443	GO:0015718	monocarboxylic acid transport
K-Path:0444	GO:0071674	mononuclear cell migration
K-Path:0445	GO:0001763	morphogenesis of a branching structure
K-Path:0446	GO:0001738	morphogenesis of a polarized epithelium
K-Path:0447	GO:0002011	morphogenesis of an epithelial sheet
K-Path:0448	GO:0016331	morphogenesis of embryonic epithelium
K-Path:0449	GO:0044706	multi multicellular organism process
K-Path:0450	GO:1902579	multi organism localization
K-Path:0451	GO:0035264	multicellular organism growth
K-Path:0452	GO:0050879	multicellular organismal movement
K-Path:0453	GO:0033555	multicellular organismal response to stress
K-Path:0454	R-HSA-397014	Muscle contraction
K-Path:0455	GO:0048747	muscle fiber development
K-Path:0456	GO:0014896	muscle hypertrophy
K-Path:0457	GO:0048644	muscle organ morphogenesis
K-Path:0458	R-HSA-975155	MyD88 dependent cascade initiated on endosome
K-Path:0459	R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane
K-Path:0460	GO:0061515	myeloid cell development
K-Path:0461	GO:0045445	myoblast differentiation
K-Path:0462	R-HSA-525793	Myogenesis
K-Path:0463	GO:0014902	myotube differentiation
K-Path:0464	GO:0019674	nad metabolic process
K-Path:0465	GO:0030101	natural killer cell activation
K-Path:0466	R-HSA-375165	NCAM signaling for neurite out-growth
K-Path:0467	GO:0070265	necrotic cell death
K-Path:0468	R-HSA-8951664	Neddylation
K-Path:0469	GO:1903792	negative regulation of anion transport
K-Path:0470	GO:0010507	negative regulation of autophagy
K-Path:0471	GO:0090090	negative regulation of canonical wnt signaling
K-Path:0472	GO:0050866	negative regulation of cell activation
K-Path:0473	GO:1901988	negative regulation of cell cycle phase transition
K-Path:0474	GO:0010721	negative regulation of cell development
K-Path:0475	GO:0030308	negative regulation of cell growth
K-Path:0476	GO:0031345	negative regulation of cell projection organization
K-Path:0477	GO:0010812	negative regulation of cell substrate adhesion
K-Path:0478	GO:0034249	negative regulation of cellular amide metabolic process
K-Path:0479	GO:1903828	negative regulation of cellular protein localization
K-Path:0480	GO:0090288	negative regulation of cellular response to growth factor stimulus
K-Path:0481	GO:1905268	negative regulation of chromatin organization
K-Path:0482	GO:0051494	negative regulation of cytoskeleton organization
K-Path:0483	GO:0035305	negative regulation of dephosphorylation
K-Path:0484	GO:0048640	negative regulation of developmental growth
K-Path:0485	GO:0043392	negative regulation of dna binding
K-Path:0486	GO:0051053	negative regulation of dna metabolic process
K-Path:0487	GO:0045806	negative regulation of endocytosis
K-Path:0488	GO:0010633	negative regulation of epithelial cell migration
K-Path:0489	GO:0050680	negative regulation of epithelial cell proliferation
K-Path:0490	GO:0070373	negative regulation of erk1 and erk2 cascade
K-Path:0491	GO:1904950	negative regulation of establishment of protein localization
K-Path:0492	GO:2001237	negative regulation of extrinsic apoptotic signaling
